,COURSE_NAME,COURSE_YEAR,COURSE_SEMESTER,FOLDER_NAME,FOLDER_URL
0,51301 פסיכו ניסויית עט ב ,2018,Semester 2,2018-19 -> 51301 Experimental Psychology,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2293857fe6-85ec-453c-9a81-abe40096a9de%22
10,51301  פסיכו ניסויי עח-2,2017,Semester 2,,
39,51301 פסיכולוגיה ניסויי עז,2016,Semester 2,,
48,71183 פרקים נבחרים בכלכלת משאבי טבע תשף,2019,Semester 2,2019-20 -> 71183 SELECTED ASPECTS OF THE ECONOMICS OF NATURAL RES,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22e7ddcf20-c0cc-4f15-99f0-aadf008b34c7%22
51,65323 תרגיל בדיאטטיקה ב תשף,2019,Semester 2,2019-20 -> 65323 EXERCISE IN DIETETICS (B),https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22c8dd8bfe-fc9b-41c8-aac2-aadf008a1811%22
54,65126 פסיכולוגיה התפתחותית תשף הקלטה ידנית,2019,Semester 2,2019-20 -> 65126 DEVELOPMENTAL PSYCHOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2278598a6f-ea5d-4cbb-a25d-aadf0089cebc%22
58,52220 הסתברות עט ב,2018,Semester 2,2018-19 -> 52220 BASIC PROBABILITY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22e885f1f4-f2c7-4dae-8d69-abe4009876a5%22
106,52220 הסתברות עז,2016,Semester 2,,
118,57305 מקרו א עט ,2018,Semester 1,2018-19 -> 57305 MACRO ECONOMICS I,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22fa1ad531-acee-4a54-b003-abe400a06f1c%22
126,תגבור מאקרו כלכלה 57305,2019,Semester 2,,
133,57305 מקרו תשפ,2019,Semester 1,2019-20 -> 57305 MACRO ECONOMICS I,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22970db486-d647-4080-8789-aadf008d2b02%22
190,57305 מקרו א עח,2017,Semester 1,,
221,57305 מקרו א עח-2,2017,Semester 1,,
224,מקרו כלכלה 57305 סא עז,2016,Semester 1,,
231,57108 כלכלה עט ב,2018,Semester 2,2018-19 -> 57108 INTRODUCTION TO ECONOMICS II (MACRO),https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2271133a83-8f11-4414-a3ab-abe400a04ae1%22
273,57108 מבוא כלכלה עח-2,2017,Semester 2,,
293,57108 מבוא כלכלה ב עז,2016,Semester 2,,
321,71023 חשבון דפרנציאלי ואינטגרלי ב תשף הקלטה ידנית,2019,Semester 2,2019-20 -> 71023 CALCULUS FOR LIFE SCIENCE MAJORS B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22850a9af8-6467-46ad-a3dd-aadf0089b195%22
337,71844 יסודות תורת המחלות תשף,2019,Semester 2,2019-20 -> 71844 ELEMENTS OF PATHOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%222a39f792-3fb6-45ca-be07-aadf008e7400%22
360,65221 תת תזונה תשף,2019,Semester 2,2019-20 -> 65221 MALNUTRITION,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22a8dd7223-d416-47df-8df5-aadf0089f589%22
361,71836 ביולוגיה ואקולוגיה של דגים תשף הקלטה ידנית,2019,Semester 2,2019-20 -> 71836 FISH BIOLOGY AND ECOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22736bc7d3-46e1-49c6-b850-aadf008e574a%22
367,71178 ציטולוגיה אבחנתית תשף,2019,Semester 2,2019-20 -> 71178 DIAGNOSTIC CYTOLOGY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22e424d555-202d-499a-b97f-aadf008b2db0%22
368,65772 חיות קטנות - התמחויות תשף,2019,Semester 2,,
369,71084 חקלאות ואיכות הסביבה פרקים נבחרים,2019,Semester 2,2019-20 -> 71084 TOPICS IN ENVIRONMENTAL QUALITY AND AGRICULTURE,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22d8cda806-35d7-4800-9d51-aadf008a7e30%22
370,71764 כלכלת תיירות תשף,2019,Semester 2,2019-20 -> 71764 ECONOMICS OF TOURISM AND TRAVEL,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2271d10d46-33bf-40f0-8854-aadf008de927%22
378,57322 קונומטריקה עט ב,2018,Semester 2,2018-19 -> 57322 INTRODUCTION TO ECONOMETRICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%225b21fffa-ce94-4dd2-b365-abe400a07fdc%22
412,57308 תורת המחירים ב עט ב,2018,Semester 2,2018-19 -> 57308 PRICE THEORY II,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%224983f82f-6290-4e1e-b0e7-abe400a0765c%22
514,57308 מחירים עח-ב,2017,Semester 2,,
579,57308 מחירים ב עז,2016,Semester 2,,
614,65812 מבוא להרדמה א תשף,2019,Semester 2,2019-20 -> 65812 INTRODUTION TO ANESTHESIOLOGY (A),https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%220c8bc204-5c9c-4a21-b067-aadf008c2ac7%22
619,71273 מחברה מתועשת לחברה דיגיטלית תשף,2019,Semester 2,2019-20 -> 71273 FROM INDUSTRIAL TO DIGITAL SOCIETY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%221bee0fad-0f2c-4fc8-8a8f-aadf008bab1b%22
621,71273 -  מחברה מתועשת לחברה דיגיטלית - תשף - שעור א,2019,Semester 2,2019-20 -> 71273 FROM INDUSTRIAL TO DIGITAL SOCIETY,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%221bee0fad-0f2c-4fc8-8a8f-aadf008bab1b%22
628,71344 אקולוגיה של שמירת טבע תשף ,2019,Semester 2,2019-20 -> 71344 ECOLOGY OF NATURE CONSERVATION,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22faacd86c-951c-4df6-b265-aadf008bf152%22
634,65308 פתולוגיה וקליניקה של מחלות ב תשף,2019,Semester 2,2019-20 -> 65308 DISEASE: PATHOLOGY & CLINICAL MANIFESTATIONS (B),https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22e9bfa92f-4090-40fa-86e6-aadf008a0481%22
641,71736 מאקרו כלכלה תשף,2019,Semester 2,2019-20 -> 71736 MACRO ECONOMICS,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%22f7e6d498-91d2-417f-b6e0-aadf008db202%22
642,71710 מבוא לכלכלה ב תשף,2019,Semester 2,2019-20 -> 71710 INT. TO ECONOMIC B,https://huji.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=%2281809681-4f03-4697-bcf5-aadf008d7ebc%22
